bookIndex,bookSubIndex,book_title_English,book_title_Korean,author,recentOpenDate,tag,favorite,lastScroll,complete,isContent,ContentE,ContentK
1,,The Little prince,어린왕자,Antoine de Saint-Exupery ,,L2,1,,0,,,
2,,The Frog King,개구리 왕,Grim,,L1,1,,,,,
3,A1,The Wolf and the Lamb,늑대와 어린양,Aesop,,L0,1,,0,,"WOLF, meeting with a Lamb astray from the fold, resolved not to lay violent hands on him, but to find some plea to justify to the Lamb the Wolf’s right to eat him. He thus addressed him: “Sirrah, last year you grossly insulted me.” “Indeed,” bleated the Lamb in a mournful tone of voice, “I was not then born.” Then said the Wolf, “You feed in my pasture.” “No, good sir,” replied the Lamb, “I have not yet tasted grass.” Again said the Wolf, “You drink of my well.” “No,” exclaimed the Lamb, “I never yet drank water, for as yet my mother’s milk is both food and drink to me.” 

Upon which the Wolf seized him and ate him up, saying, “Well! I won’t remain supperless, even though you refute every one of my imputations.” The tyrant will always find a pretext for his tyranny.","늑대가 양떼무리에서 떨어진 어린양을 만났어요.
그래서 잡아먹기로 작정했지요.
그래서 그렇듯 한 구실을 대 잡아먹을 생각을 했어요.
늑대가 어린양에게 말했어요.
“어이, 네가 작년에 나 욕했지.”
“정말,”라며 어린양이 애처로운 목소리로 말했어요. “전 작년에 태어나지도 않은 걸요.”
그러자 늑대가 “내 풀밭에서 잔디를 뜯어먹었더군.”라고 말했어요.
“아뇨, 선생님,”라며 어린양이 대꾸했어요. “전 아직 잔디를 맛본 적도 없는 걸요.”
늑대가 재차 말했어요.
“내 샘물을 마셨더구나.”
“아뇨,”라며 어린양이 소리쳤어요. “전 아직 물이란 걸 마셔본 적이 없는 걸요, 아직 엄마 젖만 먹고 마시고 있어요.”

“네가 내 말에 아무리 논박을 해도, 저녁식사를 내가 마다할 리야 없지.”
악당은 언제나 자신들의 악행에 대해 그럴듯한 구실을 찾는 법이랍니다."
4,A2,The Bat and the Weasels,박쥐와 족제비,Aesop,,L0,,,,,"A BAT who fell upon the ground and was caught by a Weasel pleaded to be spared his life.
The Weasel refused, saying that he was by nature the enemy of all birds.
The Bat assured him that he was not a bird, but a mouse, and thus was set free. 
Shortly afterwards the Bat again fell to the ground and was caught by another Weasel, whom he likewise entreated not to eat him.
The Weasel said that he had a special hostility to mice. 
The Bat assured him that he was not a mouse, but a bat, and thus a second time escaped.
It is wise to turn circumstances to good account.","땅에 떨어진 박쥐 한 마리가 족제비에게 붙잡히고 말았어요. 박쥐는 살려달라고 애원했지요.
족제비가 거절하며 말했어요.“우리 족제비들은 원래 모든 새들의 적이다.”
그러자 박쥐는 “저는 새가 아니라, 생쥐랍니다.”라고 말하고 증명해보인 후에서야 가까스로 풀려날 수 있었답니다.
그 후 얼마 못가서 그 박쥐가 또 땅에 떨어졌다 이번에 다른 족제비에게 붙잡히고 말았어요. 박쥐는 이번에도 “저를 잡아먹지 말아주세요”라고 탄원했지요.
족제비가 말했어요.“우리 족제비들은 생쥐들에 특별히 악 감정이 있지.”
그러자 박쥐가 “저는 생쥐가 아니라, 박쥐랍니다.”라고 말하고 증명해보인 보였고, 그런 연고로 두 번씩이나 풀려날 수 있었지요.
이렇듯 누구나 자신의 상황을 봐가며 그때그때 처신해야한답니다."
5,A3, The Ass and the Grasshopper,당나귀와 메뚜기,Aesop,,L0,,,,,"AN ASS having heard some Grasshoppers chirping, was highly enchanted; and, desiring to possess the same charms of melody, demanded what sort of food they lived on to give them such beautiful voices.
They replied, “The dew.”
The Ass resolved that he would live only upon dew, and in a short time died of hunger.","늑대가 양떼무리에서 떨어진 어린양을 만났어요.당나귀가 하루는 메뚜기들의 울음소리(“찍찍”하고 움)를 듣고는 매료된 나머지 자신도 그와 같은 하모니를 내고 싶어 “도대체 무얼 먹으면 너희들처럼 그런 고운 소리를 낼 수 있니?”라고 메뚜기들에게 물어보았지요.
메뚜기들이 대답했어요. “이슬.”
그래서 당나귀는 그날부터 이슬만 먹고 살다 얼마안가 굶어죽고 말았답니다."
6,A4,The Lion and the Mouse,사자와 생쥐,Aesop,,L0,,,,,"A LION was awakened from sleep by a Mouse running over his face.
Rising up angrily, he caught him and was about to kill him, when the Mouse piteously entreated, saying:
“If you would only spare my life, I would be sure to repay your kindness.”
The Lion laughed and let him go.
It happened shortly after this that the Lion was caught by some hunters,
who bound him by strong ropes to the ground. 

The Mouse, recognizing his roar, came gnawed the rope with his teeth, and set him free, exclaim
“You ridiculed the idea of my ever being able to help you, expecting to receive from me any repayment of your favor; I now you know that it is possible for even a Mouse to con benefits on a Lion.”","생쥐 한 마리가 얼굴 위를 밟고 지나가는 바람에 사자가 자다 깼어요.
벌컥 화가 난 사자가 생쥐를 잡아 막 죽이려던 찰나에, 생쥐가 간절히 자비를 부탁하며 말했어요.
“살려만 주신다면 이 은혜를 꼭 갚을 게요.”
그 말이 웃겨서 사자는 생쥐를 놓아주었답니다.
이 일이 있고 머지않아 사냥꾼들이 놓은 덫에 그 사자가 걸리고 말았어요.
사냥꾼들은 단단한 끈들로 사자는 단단히 묶어놓았답니다. 
​
사자가 포호하는 소리를 그 생쥐가 듣고서 오더니 자신의 이빨로 끈을 갉아먹기 시작해 사자를 다시 풀어주었어요.생쥐가 외쳤죠.
“제가 도와드린다고 말씀드렸을 때 절 비웃으셨죠, 제게서 도움 받을 일은 없다면서요. 그런데 지금 이렇게 구해드리잖아요. 이젠 생쥐도 사자님을 구할 수 있다는 걸 아셨죠.”"
7,A5, The Charcoal-Burner and the Fuller,숯꾼과 빨래집 주인,Aesop,,L0,,,,,"A CHARCOAL-BURNER carried on his trade in his own house. One day he met a friend, a Fuller, and entreated him to come and live with him, saying that they should be far better neighbors and that their housekeeping expenses would be lessened. The Fuller replied, “The arrangement is impossible as far as I am concerned, for whatever I should whiten, you would immediately blacken again with your charcoal.”
Like will draw like.","숯꾼(숯을 굽는 사람)이 자신의 집에서 사업을 시작했답니다.
그러다 한 친구를 사귀게 되었는데요, 그는 빨래집 주인(원문→축융업자. 양털을 직물로 만드는 기술자)이었어요.
그가 마음에 든 숯꾼이 말했어요.
“내 집에 들어와 함께 살자. 그럼 사이도 더 좋아질 거고, 생활비도 절약될 거 아니니.”
그러자 빨래집 주인이 이렇게 응수했답니다.
“저한텐 최악인데요, 제가 형네 집에 들어가 살다가는, 제 빨래 감들이 형 숯들 때문에 금방 새까맣게 변할 거 아니에요.”
끼리끼리 모이는 법이랍니다."
8,A6,The Father and His Sons,아빠와 아들,Aesop,,L0,,,,,"A FATHER had a family of sons who were perpetually quarreling among themselves. When he failed to heal their disputes by his exhortations, he determined to give them a practical illustration of the evils of disunion; and for this purpose he one day told them to bring him a bundle of sticks. When they had done so, he placed the faggot into the hands of each of them in succession, and ordered them to break it in pieces.

They tried with all their strength, and were not able to do it. He next opened the faggot, took the sticks separately, one by one, and again put them into his sons’ hands, upon which they broke them easily. He then addressed them in these words: “My sons, if you are of one mind, and unite to assist each other, you will be as this faggot, uninjured by all the attempts of your enemies; but if you are divided among yourselves, you will be broken as easily as these sticks.”","지들끼리 하도 싸우는 아들들을 둔 아빠가 한 분 계셨어요.
격려와 훈계로 아들들의 싸움을 말려도 보았지만 모두 실패하자, 아빠는 실제적인 사례를 보여주자 결심했지요. 분열이 나쁜 사례 말이에요.
그래서 아빠는 아들들보고 각자 나뭇가지 한 묶음씩을 구해오라고 시켰죠.
아들들이 저마다 구해하자, 아빠는 나무 한 단씩을 아들들의 손에 잇달아 안겨주며 부러뜨려보라 시켰어요.
​
아들들은 있는 힘을 다 해보았지만 그 나무 묶음을 부러뜨릴 수 없었어요.
다음으로 아빠가 나무 한 개씩만 따로 빼내어 한 사람씩 손에 쥐어주며 부러뜨려보라 말했고, 이번엔 아들들도 쉽사리 부러뜨릴 수 있었어요.
그러자 아빠가 다음과 같은 말씀을 하셨어요.
“아들들아, 너희가 마음을 합치고 서로 돕는다면 너희는 이 나무 묶음처럼 될 수 있다 그럼 누가 너희들을 해코지하려해도 실패할 것이다. 하지만 너희가 서로 불열하고 다툰다면 이 나무 막대기처럼 쉽게 부러지고 만단다.”"
9,A7,The Boy Hunting Locusts,메뚜기 잡는 소년,Aesop,,L0,,,,,"A BOY was hunting for locusts. He had caught a goodly number, when he saw a Scorpion, and mistaking him for a locust, reached out his hand to take him. The Scorpion, showing his sting, said: If you had but touched me, my friend, you would have lost me, and all your locusts too!”","메뚜기를 잡으러 나선 소년이 있었어요.메뚜기를 잡으러 나선 소년이 있었어요.
그래서 메뚜기들을 잔뜩 잡았답니다.
그러다 전갈 한 마리를 발견했는데, 소년은 그만 그 전갈도 메뚜기라 착각하고서 손을 내뻗어 쥐고 말았어요, 전갈을 말이죠.
전갈이 독침을 드러내며 말했어요.
“나를 건들지만 않았어도, 목숨을 잃지도 그리고 그 많은 메뚜기들을 잃지도 않았을 텐데!”"
10,A8,The Cock and the Jewel,수탉과 보석,Aesop,,L0,,,,,"A COCK, scratching for food for himself and his hens, found a precious stone and exclaimed: “If your owner had found thee, and not I, he would have taken thee up, and have set thee in thy first estate; but I have found thee for no purpose. I would rather have one barleycorn than all the jewels in the world.”","수탉이 자신의 가족과 암탉을 위해 먹이를 찾아 땅을 긁다 그만 보석을 하나 발견하곤 탄식하며 말했어요.
“내가 아니라, 네 원주인이 널 찾았더라면 좋아라하고 귀하게 다루었겠지만, 넌 내겐 전혀 쓸모가 없구나, 차라리 이 세상 모든 보석들보다 지금 당장은 보리알 한 알이 내겐 더 필요하거든.”"
